Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Tengeri Császár	Entitás	Aqua	Mélység Őrző	Sárkány	Hős	7	5	5	7	[HORIZONT] Oltalom (Aegis). Amíg Aktív a Horizonton, a mögötte lévő Zenitben tartózkodó Entitásod nem célozható meg ellenséges Rituálékkal és Igékkel. Valahányszor az ellenfél kénytelen egy Entitást visszavenni a Domíniumról a kezébe (bounce hatás), a Császár okoz 2 közvetlen sebzést az ellenfél Aeternaljának vagy egyik Pecsétjének.	[HORIZONT] aegis; protected entity behind cannot be targeted by enemy spells; when enemy bounces an entity, deal 2 damage to enemy Aeternal or seal	horizont, zenit, aeternal, seal_row	aegis	on_bounce	own_zenit_entity, enemy_aeternal, enemy_seal	untargetable, damage, seal_damage	static_while_on_board	trigger_only_if_the_opponent_returns_an_entity_from_dominium_to_hand_due_to_an_effect	A mögötte lévő Zenit-entitást védi a célzástól, és ellenséges bounce hatásra 2 sebzést okoz az ellenfél Aeternáljának vagy egyik pecsétjének.	osszetett_egyedi	Több részből álló statikus védelem + bounce-triggeres közvetlen sebzés.
Az Őstenger Akarata	Entitás	Aqua	Mélység Őrző	Sárkány	Hős	8	6	5	9	[HORIZONT] Oltalom (Aegis). A Betörés fázisban ez az Entitás az ATK-ja helyett a jelenlegi HP-jával okoz sebzést! Továbbá, valahányszor a köröd során bármilyen hatással HP-t töltesz vissza magadnak vagy egy Entitásodnak, ez a Sárkány megkapja a feltöltött HP-val megegyező mennyiségű ideiglenes ATK-t a kör végéig.	[HORIZONT] aegis; deals damage equal to current HP instead of ATK; when you heal, gains temporary ATK equal to healed amount until end of turn	horizont	aegis	on_heal	self, own_entity	atk_mod, damage	until_turn_end	this_deals_attack_damage_equal_to_current_hp_instead_of_atk_and_gains_atk_equal_to_hp_restored_when_you_heal_during_your_turn	A Betörésnél a jelenlegi HP-jával sebez, és minden gyógyítás után ideiglenes ATK-t kap a kör végéig.	osszetett_egyedi	Két külön mechanika: HP-alapú támadási sebzés + heal-triggeres ideiglenes ATK-növekedés.
Zátony-felderítő	Entitás	Aqua	Mélység Őrző	Sellő	Tolvaj	1	1	1	2	[HORIZONT] Ha túléli a legelső harcát a mérkőzés során, véglegesen kap +1 maximális HP-t.	if this survives its first combat in the match, it permanently gains +1 max HP	horizont	blank	on_block_survived	self	hp_mod	until_match_end	trigger_only_if_this_survives_its_first_combat_in_the_match	Ha túléli a mérkőzés első harcát, véglegesen +1 max HP-t kap.	osszetett_egyedi	Első harc nyomon követését igényli.
Tengeri Szivacs	Entitás	Aqua	Mélység Őrző	Növény	Alap	1	2	0	4	[HORIZONT] Oltalom (Aegis). Nem indíthat támadást.	[HORIZONT] aegis; cannot attack	horizont	aegis	static	self	attack_restrict	static_while_on_board	none	Oltalommal rendelkező tiszta védő, amely nem támadhat.	passziv_vagy_egyszeru	Egyszerű statikus támadási tiltás natív keyword mellett.
Páncélos Rák	Entitás	Aqua	Mélység Őrző	Bestia	Alap	2	2	2	3	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalommal rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Gyöngy-Kovács	Entitás	Aqua	Mélység Őrző	Ember	Harcos	2	2	1	3	[DOMÍNIUM] Riadó (Clarion): Amikor megidézed, adj egy tetszőleges másik saját Entitásodnak +1 ATK-t és +1 maximális HP-t a mérkőzés végéig.	[DOMINIUM] clarion: another allied entity gains +1 ATK and +1 max HP until end of match	dominium	clarion	on_summon	other_own_entity	atk_mod, hp_mod	until_match_end	none	Megidézéskor egy másik saját entitás +1 ATK-t és +1 max HP-t kap a mérkőzés végéig.	elso_koros_gepi_ertelmezes	Egyszerű Clarion-buff két stattal.
Korall-Lovag	Entitás	Aqua	Mélység Őrző	Sellő	Lovag	3	3	2	4	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalommal rendelkező egyszerű védő entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Árapály-Orgyilkos	Entitás	Aqua	Mélység Őrző	Sellő	Orgyilkos	3	3	3	2	[DOMÍNIUM] Ha olyan ellenséges Entitást támad meg, amely már sérült (nincs max HP-n), a harc idejére kap +2 ATK-t.	if this attacks a damaged enemy entity, it gains +2 ATK during combat	dominium	blank	on_attack_declared	self	atk_mod	during_combat	target_enemy_entity_must_be_damaged	Ha sérült ellenséges entitást támad, a harc idejére +2 ATK-t kap.	elso_koros_gepi_ertelmezes	Egyszerű feltételes combat buff.
Óceáni Sámán	Entitás	Aqua	Mélység Őrző	Elemi Lény	Sámán	4	3	2	4	[ZENIT] Rezonancia 1. A Manifesztáció fázisodban tölts vissza 1 HP-t egy tetszőleges sérült saját Entitásodnak.	[ZENIT] resonance 1; during your manifestation phase heal 1 to a damaged allied entity	zenit	resonance	on_influx_phase	own_entity	heal	instant	target_must_be_damaged_allied_entity	Minden saját Manifesztáció fázisban 1 HP-t gyógyít egy sérült saját entitáson.	elso_koros_gepi_ertelmezes	Rezonancia mellé egyszerű fázis-alapú gyógyítás.
Sziklazúzó Bálna	Entitás	Aqua	Mélység Őrző	Bestia	Alap	4	4	4	5	[HORIZONT] Hasítás (Sundering).	[HORIZONT] sundering	horizont	sundering	static	self	blank	static_while_on_board	none	A Horizonton Hasítással rendelkező egyszerű támadó entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Titkos-tenger Őrzője	Entitás	Aqua	Mélység Őrző	Sárkány	Lovag	5	5	3	6	[HORIZONT] Oltalom (Aegis). Amíg ez a lap Aktív állapotban van, az összes 3 vagy annál kisebb Magnitúdójú saját Entitásod is megkapja az Oltalom (Aegis) kulcsszót.	[HORIZONT] aegis; while active, your entities with magnitude 3 or less gain aegis	horizont	aegis	static	own_entities	grant_keyword	static_while_on_board	affects_only_allied_entities_with_magnitude_lte_3	Miközben aktív, minden 3-as vagy kisebb Magnitúdójú saját entitásod megkapja az Oltalmat.	osszetett_egyedi	Folyamatos, Magnitúdó-szűrt keyword-adás.
Hullám-Parancsnok	Entitás	Aqua	Mélység Őrző	Sellő	Parancsnok	5	5	4	5	[ZENIT] Harmonizálás (Harmonize). Minden alkalommal, amikor az általa támogatott Entitás sikeres támadást indít, húzhatsz egy lapot a paklidból.	[ZENIT] harmonize; whenever supported entity attacks successfully, draw 1	zenit	harmonize	on_attack_hits	own_horizont_entity	draw	while_active	none	Győztes támadást indító támogatott entitás után lapot húzhatsz.	osszetett_egyedi	Harmonize-hoz kötött támadás-utáni húzás.
Abisszális Csúcsragadozó	Entitás	Aqua	Mélység Őrző	Bestia	Vadász	6	6	5	6	[HORIZONT] Gyorsaság (Celerity).	[HORIZONT] celerity	horizont	celerity	static	self	blank	static_while_on_board	none	A Horizonton Gyorsasággal rendelkező egyszerű támadó entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Víz-Elementál Góliát	Entitás	Aqua	Mélység Őrző	Elemi Lény	Alap	6	5	4	8	[HORIZONT] Oltalom (Aegis). Valahányszor sebzést szenved el egy fizikai harc során, a támadó elveszít -1 ATK-t a kör végéig.	[HORIZONT] aegis; when damaged in physical combat, attacker gets -1 ATK until end of turn	horizont	aegis	on_combat_damage_taken	enemy_entity	atk_mod	until_turn_end	none	A fizikai harcban őt sebző támadó a kör végéig -1 ATK-t kap.	elso_koros_gepi_ertelmezes	Egyszerű combat damage taken triggeres debuff.
Tengeri Baziliszkusz	Entitás	Aqua	Mélység Őrző	Hüllő	Alap	7	6	6	6	[HORIZONT] Bármely ellenséges Entitás, amely sebzést kap ettől a laptól (és nem pusztul el), azonnal Kimerült állapotba kerül a következő saját Ébredés fázisára is (nem állhat fel).	enemy entity damaged by this card and surviving becomes exhausted through its next awakening	horizont	blank	on_combat_damage_dealt	enemy_entity	exhaust	next_own_awakening	target_enemy_entity_must_survive_damage_from_this_card	Az általa megsebzett és túlélő ellenséges entitás kimerült marad a következő Ébredés fázisára is.	osszetett_egyedi	Késleltetett felállásgátlás külön állapotkövetést igényel.
Atlantisz Utolsó Királya	Entitás	Aqua	Mélység Őrző	Ember	Hős	7	7	5	7	[ZENIT] Rezonancia 2. Minden saját Ébredés fázisodban adhatsz egy szabadon választott Entitásnak Oltalom (Aegis) kulcsszót a kör végéig.	[ZENIT] resonance 2; during each of your awakening phases target entity gains aegis until end of turn	zenit	resonance	on_next_own_awakening	own_entity	grant_keyword	until_turn_end	none	Minden saját Ébredés fázisban egy választott entitás megkapja az Oltalom kulcsszót a kör végéig.	osszetett_egyedi	Rezonancia mellett ismétlődő, fázis-alapú ideiglenes keyword-adás.
Az Ősforrás Lelke	Entitás	Aqua	Mélység Őrző	Szellem	Mágus	8	8	4	9	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. Amíg itt van, az ellenfél nem használhat Reakció (Burst) Igéket a te köröd alatt.	[ZENIT] cannot be targeted by enemy spells; opponent cannot use burst spells during your turn	zenit	blank	static	self	untargetable, ability_lock	static_while_on_board	opponent_cannot_use_burst_spells_during_your_turn	A Zenitben nem célozható ellenséges varázslatokkal, és az ellenfél nem használhat Burst Igéket a te körödben.	osszetett_egyedi	Statikus védelem + ellenfél reakcióhasználatát tiltó globális szabály.
A Zátony Éneke	Rituálé	Aqua	Mélység Őrző	-	-	3	3	-	-	Tölts vissza 2 HP-t az összes saját Entitásodnak a Domíniumon.	heal 2 to all allied entities on board	dominium	blank	blank	own_entities	heal	instant	none	A Domínium összes saját entitása 2 HP-t gyógyul.	elso_koros_gepi_ertelmezes	Egyszerű tömeges gyógyítás jól meghatározott célcsoportra.
Víz alatti Börtön	Rituálé	Aqua	Mélység Őrző	-	-	4	4	-	-	Válassz egy ellenséges Entitást a Horizonton. Tedd át az ő Zenitjébe, Kimerült állapotban. Amíg a Zenitben marad, nem kaphat bónuszokat más lapoktól.	move target enemy Horizont entity to its Zenit exhausted; while there it cannot receive bonuses	horizont, zenit	blank	blank	enemy_horizont_entity	move_zenit, exhaust, stat_protection	while_active	none	A célpont a Zenitbe kerül Kimerülten, és amíg ott marad, nem kaphat pozitív bónuszokat más lapoktól.	osszetett_egyedi	Mozgatás + kimerítés + tartós buff-tiltás, amíg a Zenitben tartózkodik.
A Mélység Áldása	Rituálé	Aqua	Mélység Őrző	-	-	5	4	-	-	Adj minden saját Entitásodnak a Domíniumon +1 maximális HP-t és az Oltalom (Aegis) kulcsszót az adott kör végéig.	all allied entities on board gain +1 max HP and aegis until end of turn	dominium	blank	blank	own_entities	hp_mod, grant_keyword	until_turn_end	none	A Domínium összes saját entitása +1 max HP-t és Oltalmat kap a kör végéig.	elso_koros_gepi_ertelmezes	Tömeges ideiglenes stat- és keyword-buff.
Cunami Idézése	Rituálé	Aqua	Mélység Őrző	-	-	6	6	-	-	Okozz 2 sebzést az összes ellenséges Entitásnak, amely az ellenfél Horizontján tartózkodik.	deal 2 damage to all enemy Horizont entities	horizont	blank	blank	enemy_horizont_entities	damage	instant	none	Az ellenfél Horizontján lévő összes entitás 2 sebzést szenved el.	elso_koros_gepi_ertelmezes	Egyszerű tömeges sebzés jól körülírt zónára.
Békés Meditáció	Rituálé	Aqua	Mélység Őrző	-	-	2	4	-	-	Húzz 3 lapot a paklidból. Ebben a körben nem indíthatsz támadást.	draw 3 cards; you cannot attack this turn	deck	blank	blank	self	draw, attack_restrict	until_turn_end	none	Húzol 3 lapot, de ebben a körben nem indíthatsz támadást.	osszetett_egyedi	Húzás és játékos-szintű támadási korlátozás együtt.
Visszaáramlás	Rituálé	Aqua	Mélység Őrző	-	-	3	3	-	-	Válassz egy célpont ellenséges Entitást, amelynek a Magnitúdója 4 vagy annál kisebb. Küldd vissza az ellenfél kezébe (az ezen lévő bónuszok törlődnek).	return target enemy entity with magnitude 4 or less to its owner's hand	hand	blank	blank	enemy_entity	return_to_hand	instant	target_enemy_entity_with_magnitude_lte_4	Egy 4-es vagy kisebb Magnitúdójú ellenséges entitás visszakerül az ellenfél kezébe.	elso_koros_gepi_ertelmezes	Egyszerű bounce spell Magnitúdó-szűréssel.
A Mélység Bölcsessége	Rituálé	Aqua	Mélység Őrző	-	-	4	3	-	-	Húzz 2 lapot a paklidból. Ha van legalább egy Oltalom (Aegis) kulcsszóval rendelkező Entitásod a Horizonton, húzz még 1 lapot extraként.	draw 2 cards; if you control an aegis entity on Horizont, draw 1 more	horizont, deck	blank	blank	self	draw	instant	controls_at_least_one_aegis_entity_on_horizont	Húzol 2 lapot, és ha van legalább egy Aegis-es saját Horizont-entitásod, húzol még 1-et.	elso_koros_gepi_ertelmezes	Feltételes extra húzás keyword-alapú ellenőrzéssel.
A Mélység Hívása	Rituálé	Aqua	Mélység Őrző	-	-	5	5	-	-	Válassz egy ellenséges Entitást a Horizonton. Tedd az ellenfél paklijának legaljára.	put target enemy Horizont entity on bottom of its owner's deck	horizont, deck	blank	blank	enemy_horizont_entity	deck_bottom	instant	none	A kiválasztott ellenséges Horizont-entitás az ellenfél paklijának legaljára kerül.	osszetett_egyedi	Deck-bottom eltávolítás külön célzott zónakezelést igényel.
Védelmező Burok	Ige	Aqua	Mélység Őrző	-	-	2	1	-	-	Válassz egy saját, Oltalom (Aegis) kulcsszóval rendelkező sérült Entitást. Azonnal visszatölti a teljes HP-ját. Reakció (Burst): Ingyen elsüthető.	restore target damaged allied aegis entity to full HP	blank	burst	blank	own_entity	heal	instant	target_must_be_damaged_allied_entity_with_aegis	Egy sérült, Oltalom kulcsszóval rendelkező saját entitás azonnal visszatölti a teljes HP-ját.	elso_koros_gepi_ertelmezes	Egyszerű feltételes teljes gyógyítás Burst-tel.
Mélytengeri Nyomás	Ige	Aqua	Mélység Őrző	-	-	3	2	-	-	Válassz egy ellenséges Entitást a Horizonton. Az ATK-ja a felére csökken (lefelé kerekítve) az adott kör végéig.	target enemy Horizont entity has its ATK halved until end of turn	horizont	blank	blank	enemy_horizont_entity	atk_mod	until_turn_end	none	A kijelölt ellenséges Horizont-entitás ATK-ja a kör végéig a felére csökken.	elso_koros_gepi_ertelmezes	Egyszerű célzott ideiglenes ATK-csökkentés.
Fagyos Lándzsa	Ige	Aqua	Mélység Őrző	-	-	4	3	-	-	Okozz 3 sebzést egy tetszőleges ellenséges Entitásnak, vagy törj fel 1 ellenséges Pecsétet. Ha a célpont egy már Kimerült Entitás, az nem állhat fel a következő Ébredés fázisában.	deal 3 damage to target enemy entity OR break 1 enemy seal; if the targeted entity is exhausted, it does not ready during its next awakening	enemy_entity, enemy_seal	blank	blank	enemy_entity, enemy_seal	damage, seal_break, exhaust	next_own_awakening	if_target_entity_is_exhausted_it_does_not_ready_next_awakening	3 sebzést okoz egy ellenséges entitásnak, vagy feltör 1 ellenséges pecsétet. Ha a célpont egy kimerült entitás, az a következő Ébredés fázisban sem áll fel.	osszetett_egyedi	Kombinált választás: vagy entitás-sebzés, vagy explicit pecsétfeltörés; a felállásgátlás csak entitás célpont esetén értelmezhető.
Hirtelen Dagály	Ige	Aqua	Mélység Őrző	-	-	1	2	-	-	Egy saját Entitásod azonnal megkapja az Oltalom (Aegis) kulcsszót a kör végéig. Reakció (Burst): Ingyen elsüthető.	target allied entity gains aegis until end of turn	blank	burst	blank	own_entity	grant_keyword	until_turn_end	none	Egy saját entitás Oltalmat kap a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű ideiglenes keyword-adás Burst-tel.
Megtörhetetlen Hullám	Ige	Aqua	Mélység Őrző	-	-	2	1	-	-	Egy saját, támadást elszenvedő Entitásod kap +3 HP-t az adott kör végéig. Reakció (Burst): Ingyen elsüthető.	target allied attacked entity gains +3 HP until end of turn	blank	burst	on_attack_declared	own_entity	hp_mod	until_turn_end	target_must_be_currently_under_attack	Egy saját, támadást elszenvedő entitás +3 HP-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Reaktív combat-védő spell Burst-tel.
Zuhogó Gyógyulás	Ige	Aqua	Mélység Őrző	-	-	3	2	-	-	Az Ige költségén felül Kimerített (forgass el) egy saját, Aktív állapotban lévő Entitást a Domíniumodon. Az adott kör végéig minden saját Entitásod a Domíniumon kap +2 HP-t.	exhaust one active allied entity as additional cost; all allied entities on board gain +2 HP until end of turn	dominium	blank	blank	own_entity, own_entities	exhaust, hp_mod	until_turn_end	additional_cost_exhaust_one_active_allied_entity_on_dominium	Egy saját aktív entitást kimerítesz többletköltségként, majd minden saját entitásod +2 HP-t kap a kör végéig.	osszetett_egyedi	Többletköltség + tömeges ideiglenes HP-buff.
Folyékony Páncél	Ige	Aqua	Mélység Őrző	-	-	4	1	-	-	Az adott kör végéig a saját Horizontodon álló összes Entitás elszenvedett sebzése a felére csökken (lefelé kerekítve).	damage taken by all allied Horizont entities is halved until end of turn	horizont	blank	blank	own_horizont_entities	damage_prevention	until_turn_end	none	Az adott kör végéig a saját Horizont-entitások által elszenvedett sebzés feleződik.	osszetett_egyedi	Nem teljes megelőzés, hanem a saját Horizont-entitásokra kapott sebzés felezése, lefelé kerekítve.
Cunami Visszacsapás	Ige	Aqua	Mélység Őrző	-	-	5	4	-	-	Ha egy ellenfél Entitása sebzést okoz az egyik Pecsétednek, azonnal küldd vissza azt a támadó Entitást az ellenfél kezébe.	if an enemy entity damages one of your seals, return that attacker to its owner's hand	seal_row, hand	blank	on_attack_hits	enemy_entity	return_to_hand	instant	trigger_only_if_an_enemy_entity_deals_damage_to_one_of_your_seals	Ha egy ellenséges entitás sebzést okoz az egyik pecsétednek, a támadó entitás azonnal visszakerül az ellenfél kezébe.	osszetett_egyedi	Pecsétsebzéshez kötött reakciós bounce hatás.
Kagylócsapda	Jel	Aqua	Mélység Őrző	-	-	2	2	-	-	Aktiválás: Amikor az ellenfél egy 3-as vagy annál kisebb Magnitúdójú Entitást idéz meg. Hatás: Az Entitás azonnal visszakerül a játékos kezébe (az Aura költség elvész).	when enemy summons an entity with magnitude 3 or less: return that entity to its owner's hand	hand	blank	on_enemy_summon	enemy_entity	return_to_hand	instant	trigger_only_if_enemy_summoned_entity_has_magnitude_lte_3	Ha az ellenfél egy 3-as vagy kisebb Magnitúdójú entitást idéz meg, az azonnal visszakerül a kezébe.	elso_koros_gepi_ertelmezes	Egyszerű summon-triggeres bounce trap.
Megtört Áramlat	Jel	Aqua	Mélység Őrző	-	-	3	2	-	-	Aktiválás: Amikor az ellenfél egy Reakció (Burst) Igét játszik ki. Hatás: Az ellenfél varázslatának hatása teljes mértékben érvénytelenítődik.	when enemy plays a burst spell: counter that spell	blank	burst	on_enemy_spell_or_ritual_played	enemy_spell	counterspell	instant	trigger_only_if_enemy_spell_has_burst	Ha az ellenfél Burst Igét játszik ki, annak hatása teljesen semlegesítődik.	elso_koros_gepi_ertelmezes	Egyszerű burst-reagáló counter trap.
Életmentő Burok	Jel	Aqua	Mélység Őrző	-	-	4	2	-	-	Aktiválás: Amikor egy saját Entitásod halálos sebzést kapna harcban vagy varázslattól. Hatás: Az Entitásod túléli pontosan 1 HP-val, és azonnal hátraugrik egy üres Zenit mezőre (ha van hely).	when allied entity would take lethal damage: it survives with 1 HP and moves to an empty Zenit slot	zenit	blank	on_combat_damage_taken	own_entity	damage_prevention, move_zenit	instant	target_must_be_allied_entity_that_would_take_lethal_damage	Ha egy saját entitásod halálos sebzést kapna, 1 HP-val túlél és egy üres Zenit mezőre hátraugrik.	osszetett_egyedi	Megelőző halálvédelem és mentő áthelyezés együtt; üres Zenit hely ellenőrzése kell.
Visszacsapó Hullám	Jel	Aqua	Mélység Őrző	-	-	5	3	-	-	Aktiválás: Amikor az ellenfél feltöri az egyik Pecsétedet. Hatás: A feltört Pecséted energiája felszabadul és 4 közvetlen sebzést okoz az ellenfél legmagasabb ATK-jú Entitásának a Domíniumon.	when enemy breaks one of your seals: deal 4 damage to the highest ATK enemy entity on board	seal_row, dominium	blank	on_seal_break	enemy_entity	damage	instant	target_the_highest_atk_enemy_entity_on_dominium	Ha az ellenfél feltöri az egyik pecsétedet, 4 sebzést kap az ellenfél legmagasabb ATK-jú entitása.	osszetett_egyedi	Pecséttörés-trigger + legnagyobb ATK-jú célpont kiválasztása kell hozzá.
