Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Igazságosztó Lovagkapitány	Entitás	Lux	Fényhozó Lovagrend	Ember	Lovag	4	4	3	5	"[HORIZONT] Oltalom (Aegis). Minden saját, ""Lovag"" kasztú Entitásod a Horizonton kap +1 ATK-t. A Manifesztáció fázisodban (körönként egyszer) kiválaszthatsz pontosan 1 saját Lovag Entitást a pályán, amelynek az ATK-ja és HP-ja az adott kör végéig nem csökkenthető ellenséges Igék által."	[HORIZONT] aegis; allied knight entities on Horizont gain +1 ATK; during your manifestation phase once per turn target allied knight entity cannot have ATK or HP reduced by enemy spells until end of turn	horizont, dominium	aegis	on_influx_phase	own_horizont_entities, own_entity	atk_mod, stat_protection	until_turn_end	target_must_be_allied_knight_entity; usable_once_per_turn	Minden saját Lovag Horizont-entitás +1 ATK-t kap, és Manifesztációkor körönként egyszer egy saját Lovag ATK-ja és HP-ja védett az ellenséges Igék csökkentéseitől.	osszetett_egyedi	Folyamatos törzsi buff + fázis-alapú célzott statvédelem.
Szent Láng Inkvizítor	Entitás	Lux	Fényhozó Lovagrend	Ember	Harcos	5	4	4	4	[DOMÍNIUM] Riadó (Clarion): Célba vehet egy ellenséges Entitást a Horizonton. Az elveszíti minden kulcsszavát és kap 2 azonnali sebzést.	[DOMINIUM] clarion: target enemy Horizont entity loses all keywords and takes 2 damage	dominium, horizont	clarion	on_summon	enemy_horizont_entity	ability_lock, damage	instant	none	Megidézéskor egy ellenséges Horizont-entitás elveszíti a kulcsszavait és 2 sebzést kap.	osszetett_egyedi	Keyword-eltávolítás és célzott sebzés együtt.
Aranygriff Lovag	Entitás	Lux	Fényhozó Lovagrend	Ember	Lovag	5	4	4	6	[HORIZONT] Oltalom (Aegis). Bármikor, amikor egy saját Entitásod maximális HP-ja megnő, az Aranygriff Lovag kap +1 ATK-t az adott kör végéig.	[HORIZONT] aegis; whenever an allied entity gains max HP, this gains +1 ATK until end of turn	horizont	aegis	on_stat_gain	self	atk_mod	until_turn_end	trigger_when_allied_entity_gains_max_hp	Ha egy saját entitásod maximális HP-ja nő, ez a lap +1 ATK-t kap a kör végéig.	osszetett_egyedi	Statgain-triggeres önbuff natív keyword mellett.
Valerius a Fény Pajzsa	Entitás	Lux	Fényhozó Lovagrend	Ember	Hős	6	5	5	7	[HORIZONT] Oltalom (Aegis). Amíg Valerius az első sorban tartózkodik, az összes mögötte lévő, a Zenitben álló saját Entitásod immunissá válik az ellenfél közvetlen pusztító Rituáléira.	[HORIZONT] aegis; while this is on Horizont, allied Zenit entities behind your front line are immune to enemy direct destroy rituals	horizont, zenit	aegis	static	own_zenit_entities	stat_protection	static_while_on_board	none	Amíg Valerius a Horizonton van, a Zenitben lévő saját entitásaid védettek az ellenfél közvetlen pusztító Rituáléitól.	osszetett_egyedi	Zónaszintű, specifikus varázshatás elleni védelem.
Gábriel a Fényhozó Arkangyal	Entitás	Lux	Fényhozó Lovagrend	Angyal	Hős	7	6	6	7	[HORIZONT] Oltalom (Aegis). [DOMÍNIUM] Riadó (Clarion): A Fény áldása miatt minden saját Entitásod a Domíniumon megkapja az Oltalom (Aegis) kulcsszót az adott kör végéig, és mindegyikük kap +2 maximális HP-t!	[HORIZONT] aegis; [DOMINIUM] clarion: all allied entities on board gain aegis and +2 max HP until end of turn	horizont, dominium	aegis, clarion	on_summon	own_entities	grant_keyword, hp_mod	until_turn_end	none	Megidézéskor minden saját entitásod Oltalmat és +2 max HP-t kap a kör végéig.	osszetett_egyedi	Tömeges Clarion keyword- és HP-buff.
Fénylő Fegyverhordozó	Entitás	Lux	Fényhozó Lovagrend	Ember	Harcos	1	1	1	2	"[HORIZONT] Ha egy ""Lovag"" Entitás van mellette, kap +1 ATK-t."	[HORIZONT] if an allied Knight is adjacent, this gains +1 ATK	horizont	blank	static	self	atk_mod	static_while_on_board	requires_adjacent_allied_knight_entity	Ha mellette egy saját Lovag áll, +1 ATK-t kap.	elso_koros_gepi_ertelmezes	Egyszerű szomszédságfüggő statikus buff.
Hajnalfény Íjász	Entitás	Lux	Fényhozó Lovagrend	Ember	Vadász	2	2	2	2	[DOMÍNIUM] Ha ennek az Entitásnak a maximális HP-ja megnő, azonnal okoz 1 sebzést egy ellenséges Entitásnak.	[DOMINIUM] when this gains max HP, deal 1 damage to target enemy entity	dominium	blank	on_stat_gain	enemy_entity	damage	instant	trigger_only_if_this_gains_max_hp	Ha ennek a lapnak a maximális HP-ja nő, 1 sebzést okoz egy ellenséges entitásnak.	elso_koros_gepi_ertelmezes	Egyszerű statgain-triggeres célzott sebzés.
Szárnyas Hírnök	Entitás	Lux	Fényhozó Lovagrend	Szárnyas Bestia	Alap	2	2	1	3	[HORIZONT] Légies (Ethereal). Gyorsaság (Celerity).	[HORIZONT] ethereal; celerity	horizont	ethereal, celerity	static	self	blank	static_while_on_board	none	A Horizonton Légies és Gyorsaság kulcsszóval rendelkező entitás.	passziv_vagy_egyszeru	Két natív keywordös lap.
Napvédő Pap	Entitás	Lux	Fényhozó Lovagrend	Ember	Pap	2	2	1	3	[ZENIT] Harmonizálás (Harmonize). Az általa támogatott Entitás immunis a Métely (Bane) kulcsszóra.	[ZENIT] harmonize; supported entity is immune to bane	zenit, horizont	harmonize	static	own_horizont_entity	stat_protection	static_while_on_board	none	A támogatott entitás immunis a Métely kulcsszóra.	osszetett_egyedi	Harmonize mellé keyword-specifikus védelem társul.
Ragyogó Páncélos	Entitás	Lux	Fényhozó Lovagrend	Ember	Lovag	3	3	2	4	[HORIZONT] Oltalom (Aegis). Bármikor, amikor egy saját Entitás maximális HP-ja megnő a pályán, ez az Entitás visszatölt magának 1 HP-t.	[HORIZONT] aegis; whenever an allied entity on board gains max HP, this heals 1	horizont	aegis	on_stat_gain	self	heal	instant	trigger_when_allied_entity_on_board_gains_max_hp	Ha egy saját pályán lévő entitás max HP-ja nő, ez a lap 1 HP-t gyógyul.	elso_koros_gepi_ertelmezes	Egyszerű statgain-triggeres önheal.
Szent Sólyom	Entitás	Lux	Fényhozó Lovagrend	Szárnyas Bestia	Alap	3	3	3	2	[HORIZONT] Légies (Ethereal). Ha a Betörés fázisban sikeresen támad, a harc után azonnal +1 max HP-t ad egy saját Lovagnak.	[HORIZONT] ethereal; after a successful breakthrough attack, target allied Knight gains +1 max HP	horizont	ethereal	on_attack_hits	own_entity	hp_mod	instant	target_must_be_allied_knight_after_successful_breakthrough_attack	Ha sikeresen támad a Betörés fázisban, a harc után egy saját Lovag +1 max HP-t kap.	osszetett_egyedi	Támadás-utáni célzott permanens buff.
Lovagrendi Gyógyító	Entitás	Lux	Fényhozó Lovagrend	Ember	Pap	3	3	1	5	[ZENIT] Rezonancia 2. Minden saját Ébredés fázisban tölts vissza 1 HP-t az összes saját Entitásodnak a Horizonton.	[ZENIT] resonance 2; during each of your awakening phases heal 1 to all allied Horizont entities	zenit, horizont	resonance	on_next_own_awakening	own_horizont_entities	heal	instant	none	Minden saját Ébredés fázisban az összes saját Horizont-entitásod 1 HP-t gyógyul.	elso_koros_gepi_ertelmezes	Rezonancia mellé tömeges fázis-alapú gyógyítás.
Égi Lándzsás	Entitás	Lux	Fényhozó Lovagrend	Angyal	Lovag	4	4	4	4	[HORIZONT] Hasítás (Sundering). Ha jelenleg Oltalom (Aegis) kulcsszóval rendelkezik, a támadását nem blokkolhatják Kimerült Entitások.	[HORIZONT] sundering; if this has aegis, exhausted entities cannot block its attack	horizont	sundering	on_attack_declared	self	block_restrict	during_combat	requires_self_to_have_aegis	Ha Aegisszel rendelkezik, a támadását Kimerült entitások nem blokkolhatják.	osszetett_egyedi	Feltételes blokkolási korlátozás natív keyword mellett.
Oltárvédő Gólem	Entitás	Lux	Fényhozó Lovagrend	Gólem	Alap	4	4	2	6	[HORIZONT] Oltalom (Aegis). Ha az ellenfél támadja, az első sikeres védekezése után nem kerül Kimerült (elforgatott) állapotba.	[HORIZONT] aegis; after its first successful defense, it does not become exhausted	horizont	aegis	on_block_survived	self	ready	until_turn_end	triggers_only_on_first_successful_defense	Az első sikeres védekezése után nem merül ki.	osszetett_egyedi	Első sikeres védekezés nyomon követése és exhaust-kivétel.
Napfény Szamuráj	Entitás	Lux	Fényhozó Lovagrend	Ember	Szamuráj	4	4	4	3	[HORIZONT] Ha az adott körben a maximális HP-ja megnőtt, kap +2 ATK-t és a Gyorsaság (Celerity) kulcsszót az adott kör végéig.	[HORIZONT] if this gained max HP this turn, it gains +2 ATK and celerity until end of turn	horizont	blank	on_stat_gain	self	atk_mod, grant_keyword	until_turn_end	trigger_only_if_this_gained_max_hp_this_turn	Ha ebben a körben nőtt a max HP-ja, +2 ATK-t és Gyorsaságot kap a kör végéig.	osszetett_egyedi	Statgain-triggeres ideiglenes buff és keyword-adás.
Aranypáncélos Behemót	Entitás	Lux	Fényhozó Lovagrend	Bestia	Alap	5	5	4	6	[HORIZONT] Hasítás (Sundering). Minden Oltalom (Aegis) kulcsszóval rendelkező saját Entitásod után a pályán kap +1 ATK-t.	[HORIZONT] sundering; this gains +1 ATK for each allied entity with aegis on board	horizont	sundering	static	self	atk_mod	static_while_on_board	count_allied_entities_with_aegis_on_board	Annyi +1 ATK-t kap, ahány saját Aegis-es entitásod van a pályán.	osszetett_egyedi	Skálázódó statikus buff keyword-számlálás alapján.
Fényhozó Hadvezér	Entitás	Lux	Fényhozó Lovagrend	Ember	Parancsnok	5	5	4	5	[ZENIT] Rezonancia 1. A Horizonton lévő minden Ember és Angyal Entitásod megidézése pillanatában kap +1 maximális HP-t.	[ZENIT] resonance 1; your Human and Angel entities gain +1 max HP when summoned to Horizont	zenit, horizont	resonance	on_summon	own_horizont_entity	hp_mod	instant	applies_only_to_allied_human_and_angel_entities_summoned_to_horizont	Az általad megidézett Ember és Angyal Horizont-entitások +1 max HP-t kapnak.	osszetett_egyedi	Rezonancia mellett summon-triggeres törzsi buff.
Sugárzó Szeráf	Entitás	Lux	Fényhozó Lovagrend	Angyal	Mágus	6	6	5	6	[DOMÍNIUM] Riadó (Clarion): Minden saját Entitásod a pályán azonnal visszatölti az összes hiányzó HP-ját (teljes gyógyulás), te pedig húzol 1 lapot.	[DOMINIUM] clarion: fully heal all allied entities on board; draw 1 card	dominium, deck	clarion	on_summon	own_entities, self	heal, draw	instant	none	Megidézéskor minden saját entitásod teljesen meggyógyul, és húzol 1 lapot.	osszetett_egyedi	Tömeges teljes gyógyítás és húzás Clarionnal.
Hajnalpír Sárkány	Entitás	Lux	Fényhozó Lovagrend	Sárkány	Alap	7	7	6	7	[HORIZONT] Oltalom (Aegis). Bármikor, amikor egy ellenséges Entitás megsemmisül a Horizonton, a Sárkány ad +1 max HP-t minden saját Entitásodnak.	[HORIZONT] aegis; whenever an enemy entity is destroyed on Horizont, all allied entities gain +1 max HP	horizont	aegis	on_death	own_entities	hp_mod	until_match_end	trigger_when_enemy_entity_is_destroyed_on_horizont	Ha egy ellenséges Horizont-entitás megsemmisül, minden saját entitásod +1 max HP-t kap.	osszetett_egyedi	Tömeges permanens buff haláltriggerre.
Uriel az Igazság Kardja	Entitás	Lux	Fényhozó Lovagrend	Angyal	Hős	8	8	7	8	[HORIZONT] Oltalom (Aegis). Hasítás (Sundering). Minden saját Entitásod a Zenitben immúnissá válik az ellenséges képességekre. (Ha Valerius a pályán van, Uriel kap +3 ATK-t.)	[HORIZONT] aegis; sundering; allied Zenit entities are immune to enemy abilities; if Valerius is on board, this gains +3 ATK	horizont, zenit	aegis, sundering	static	own_zenit_entities, self	stat_protection, atk_mod	static_while_on_board	requires_valerius_on_board_for_self_atk_bonus	Minden saját Zenit-entitásod immunis az ellenséges képességekre, és ha Valerius a pályán van, Uriel +3 ATK-t kap.	osszetett_egyedi	Zenit-védelem és név szerinti szinergia egy lapon.
A Fény Útja	Ige	Lux	Fényhozó Lovagrend	-	-	2	1	-	-	Válassz egy saját Entitást. Ha az halálos sebzést kapna, a HP-ja nem csökken 0-ra, hanem pontosan 1 HP-n életben marad. Reakció (Burst): Ingyen elsüthető Pecsétből!	target allied entity survives lethal damage at 1 HP this turn	blank	burst	blank	own_entity	damage_prevention	until_turn_end	none	Egy saját entitás ebben a körben halálos sebzés helyett 1 HP-n marad életben.	osszetett_egyedi	Halálos sebzést helyettesítő ideiglenes védőhatás Burst-tel.
Vakító Ragyogás	Ige	Lux	Fényhozó Lovagrend	-	-	3	2	-	-	Válassz egy saját Entitást. Ebben a körben az az Entitás immunitást kap minden sebzésre. Reakció (Burst): Ingyen elsüthető.	target allied entity becomes immune to all damage until end of turn	blank	burst	blank	own_entity	damage_immunity	until_turn_end	none	Egy saját entitás a kör végéig immunis minden sebzésre.	elso_koros_gepi_ertelmezes	Egyszerű célzott teljes sebzésimmunitás Burst-tel.
Megtisztulás	Ige	Lux	Fényhozó Lovagrend	-	-	4	2	-	-	Távolíts el minden negatív varázslatot a saját Entitásaidról. Ezt követően minden saját Entitásod kap +1 maximális HP-t.	remove all negative spell effects from allied entities; then all allied entities gain +1 max HP	dominium	blank	blank	own_entities	cleanse, hp_mod	instant	none	Minden saját entitásodról eltávolítja a negatív varázshatásokat, majd mindegyik +1 max HP-t kap.	osszetett_egyedi	Tömeges tisztítás és permanens HP-buff kombinációja.
Mennyei Tisztítótűz	Ige	Lux	Fényhozó Lovagrend	-	-	5	4	-	-	Okoz 2 sebzést minden ellenséges Entitásnak a Horizonton. Azok az Entitások, amelyek ettől elpusztulnak, végleg száműzve lesznek.	deal 2 damage to all enemy Horizont entities; entities destroyed this way are exiled	horizont	blank	blank	enemy_horizont_entities	damage, destroy	instant	entities_destroyed_by_this_effect_are_exiled	Minden ellenséges Horizont-entitás 2 sebzést szenved, és amelyek ettől elpusztulnak, végleg száműződnek.	osszetett_egyedi	Tömeges sebzés utáni speciális halálkezelés külön zónaszabállyal.
Fénykard Csapás	Ige	Lux	Fényhozó Lovagrend	-	-	2	1	-	-	Okozz 2 sebzést egy ellenséges Entitásnak. Ha a célpont elpusztul a sebzéstől, egy saját Entitásod kap +1 maximális HP-t. Reakció (Burst).	deal 2 damage to target enemy entity; if it is destroyed, target allied entity gains +1 max HP	blank	burst	blank	enemy_entity, own_entity	damage, hp_mod	instant	if_target_enemy_is_destroyed_by_this_damage	2 sebzést okoz egy ellenséges entitásnak, és ha az elpusztul, egy saját entitás +1 max HP-t kap.	osszetett_egyedi	Célzott sebzés és feltételes permanens buff Burst-tel.
Angyali Szárnyak	Ige	Lux	Fényhozó Lovagrend	-	-	3	2	-	-	Egy saját Entitásod megkapja a Légies (Ethereal) és a Gyorsaság (Celerity) kulcsszavakat a kör végéig.	target allied entity gains ethereal and celerity until end of turn	blank	blank	blank	own_entity	grant_keyword	until_turn_end	none	Egy saját entitás a kör végéig megkapja a Légies és Gyorsaság kulcsszavakat.	elso_koros_gepi_ertelmezes	Egyszerű többszörös ideiglenes keyword-adás.
Vakító Seregek	Ige	Lux	Fényhozó Lovagrend	-	-	4	2	-	-	A Horizontodon lévő összes Entitás kap +2 ATK-t a kör végéig, feltéve, ha rendelkeznek az Oltalom (Aegis) kulcsszóval.	all allied Horizont entities with aegis gain +2 ATK until end of turn	horizont	blank	blank	own_horizont_entities	atk_mod	until_turn_end	affects_only_allied_horizont_entities_with_aegis	A Horizontodon lévő minden Aegis-es entitás +2 ATK-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű feltételes tömeges ATK-buff keyword-szűréssel.
Szent Ítélet	Ige	Lux	Fényhozó Lovagrend	-	-	5	3	-	-	Okoz 4 sebzést egy célpont ellenséges Entitásnak. Ha az a célpont eleve Kimerült állapotban volt, azonnal elpusztul az Ürességbe zuhanva.	deal 4 damage to target enemy entity; if it was already exhausted, destroy it	blank	blank	blank	enemy_entity	damage, destroy	instant	if_target_enemy_was_already_exhausted	4 sebzést okoz egy ellenséges entitásnak, és ha az eleve Kimerült volt, azonnal elpusztul.	osszetett_egyedi	Célzott sebzés és állapotfüggő azonnali megsemmisítés kombinációja.
Hajnali Imádság	Rituálé	Lux	Fényhozó Lovagrend	-	-	2	2	-	-	"Húzz 2 lapot. Ha a felhúzott lapok között van ""Ember"" vagy ""Angyal"" faj, mutasd meg, és azonnal kapsz 1 ideiglenes Lux Aurát erre a körre."	draw 2 cards; if any drawn card is Human or Angel, gain 1 temporary Lux aura this turn	deck, hand	blank	blank	self	draw, resource_gain	until_turn_end	if_any_drawn_card_is_human_or_angel	Húzol 2 lapot, és ha a felhúzott lapok között van Ember vagy Angyal, kapsz 1 ideiglenes Lux Aurát erre a körre.	osszetett_egyedi	Húzás utáni fajellenőrzés és feltételes ideiglenes erőforrásnyerés.
Páncéláldás	Rituálé	Lux	Fényhozó Lovagrend	-	-	3	3	-	-	Válassz legfeljebb 3 saját Entitást a Domíniumodon. Mindegyik véglegesen kap +1 maximális HP-t és az Oltalom (Aegis) kulcsszót a kör végéig.	up to 3 allied entities on board gain +1 max HP permanently and aegis until end of turn	dominium	blank	blank	own_entities	hp_mod, grant_keyword	until_turn_end	target_up_to_3_allied_entities_on_board_legfeljebb_harom_celpont	Egy legfeljebb 3 saját entitásból álló csoport +1 max HP-t kap véglegesen, és Oltalmat a kör végéig.	osszetett_egyedi	Permanens HP-buff és ideiglenes keyword-adás több célpontra.
A Fény Neve	Rituálé	Lux	Fényhozó Lovagrend	-	-	4	3	-	-	Minden ellenséges Entitás a Horizonton elveszíti az Oltalom (Aegis) és Légies (Ethereal) kulcsszavait erre a körre, majd elszenved 1 közvetlen sebzést.	all enemy Horizont entities lose aegis and ethereal until end of turn, then take 1 damage	horizont	blank	blank	enemy_horizont_entities	ability_lock, damage	until_turn_end	none	Minden ellenséges Horizont-entitás elveszíti az Oltalom és Légies kulcsszavakat a kör végéig, majd 1 sebzést szenved.	osszetett_egyedi	Tömeges keyword-eltávolítás és utólagos tömeges sebzés kombinációja.
Mennyei Sereg Hívása	Rituálé	Lux	Fényhozó Lovagrend	-	-	6	5	-	-	Keresd ki a paklidból a két legmagasabb Magnitúdójú Angyal vagy Lovag Entitásodat, mutasd meg az ellenfélnek, és vedd őket a kezedbe!	search your deck for the two highest magnitude Angel or Knight entities and put them into your hand	deck, hand	blank	blank	own_deck	tutor	instant	search_two_highest_magnitude_angel_or_knight_entities_in_own_deck	A paklidból kikeresed a két legmagasabb Magnitúdójú Angyal vagy Lovag entitást, és kézbe veszed őket.	osszetett_egyedi	Tutor rangsorolással és kettős találattal.
Zárt Alakzat	Rituálé	Lux	Fényhozó Lovagrend	-	-	3	2	-	-	Válassz egy Áramlatot, amely hiánytalanul fel van töltve saját Entitásaiddal. Mindkét Entitásod kap +2 ATK-t és +2 HP-t az adott kör végéig.	choose a lane fully occupied by your entities; both gain +2 ATK and +2 HP until end of turn	horizont, zenit	blank	blank	lane	atk_mod, hp_mod	until_turn_end	target_lane_must_be_fully_occupied_by_own_entities	Válassz egy teljesen saját entitásokkal feltöltött Áramlatot; mindkét ott álló entitás +2 ATK-t és +2 HP-t kap a kör végéig.	osszetett_egyedi	Lane-célzású kettős buff teljesen töltött saját oszlop feltétellel.
Isteni Fény	Rituálé	Lux	Fényhozó Lovagrend	-	-	2	1	-	-	Növeld meg egy szabadon választott saját Entitásod maximális HP-ját 3-mal. Ha az az Entitás a Horizonton áll, azonnal megkapja az Oltalom (Aegis) kulcsszót. Húzz 1 lapot a paklidból.	target allied entity gains +3 max HP; if on Horizont, it also gains aegis; draw 1 card	horizont, deck	blank	blank	own_entity	hp_mod, grant_keyword, draw	instant	if_target_is_on_horizont_it_also_gains_aegis	Egy saját entitás +3 max HP-t kap, ha a Horizonton áll, Oltalmat is kap, majd húzol 1 lapot.	osszetett_egyedi	Célzott permanens HP-buff, feltételes keyword-adás és húzás együtt.
Keresztes Hadjárat	Rituálé	Lux	Fényhozó Lovagrend	-	-	4	3	-	-	Az összes saját Entitásod a Domíniumon megkapja a Gyorsaság (Celerity) kulcsszót és +1 ATK-t az adott kör végéig.	all allied entities on board gain celerity and +1 ATK until end of turn	dominium	blank	blank	own_entities	grant_keyword, atk_mod	until_turn_end	none	Az összes saját pályán lévő entitás Gyorsaságot és +1 ATK-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű tömeges keyword- és ATK-buff.
