Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Tűzvihar Bajnoka	Entitás	Ignis	Hamvaskezű	Ember	Harcos	5	4	5	5	[DOMÍNIUM] Riadó (Clarion): Amikor megidézed, az összes Horizonton lévő saját Hamvaskezű Entitásod kap +1 ATK-t és +1 maximális HP-t.	[DOMINIUM] clarion: all allied Hamvaskezű entities on Horizont gain +1 ATK and +1 max HP until match end	dominium	clarion	on_summon	own_horizont_entities	atk_mod, hp_mod	until_match_end	allied_hamvaskezu_on_horizont	Megidézéskor minden saját Hamvaskezű Horizont-entitásod +1 ATK-t és +1 max HP-t kap.	elso_koros_gepi_ertelmezes	Clarionhoz jól illeszkedő tömeges buff.
Vulkáni Gólem	Entitás	Ignis	Hamvaskezű	Gólem	Alap	5	3	7	5	[HORIZONT] Ez az Entitás csak akkor indíthat támadást, ha legalább 2 másik Ignis Entitásod is Aktív a Domíniumon.	can attack only if you control at least 2 other active Ignis entities on board	horizont, dominium	blank	static	self	attack_restrict	static_while_on_board	requires_at_least_2_other_active_ignis_entities_on_dominium	Csak akkor támadhat, ha legalább 2 másik aktív Ignis entitásod van a Domíniumon.	passziv_vagy_egyszeru	Feltételes támadási korlátozás.
Élő Meteor	Entitás	Ignis	Hamvaskezű	Elementál	Alap	6	3	7	6	[DOMÍNIUM] Riadó (Clarion): Becsapódáskor az Élő Meteor azonnal elszenved 3 sebzést, és a saját Horizontodon lévő összes többi Entitás is kap 1 sebzést.	[DOMINIUM] clarion: self takes 3 damage; all other allied Horizont entities take 1 damage	dominium	clarion	on_summon	self, own_horizont_entities	damage	instant	exclude_self_from_allied_horizont_damage	Megidézéskor önmaga 3 sebzést kap, és minden más saját Horizont-entitás 1 sebzést szenved el.	elso_koros_gepi_ertelmezes	Clarionhoz jól illeszkedő tömeges sebzés, önsebzéssel.
Pokoltűz Sárkány	Entitás	Ignis	Hamvaskezű	Sárkány	Hős	6	8	8	7	[HORIZONT] Hasítás (Sundering). Métely (Bane).	[HORIZONT] sundering; bane	horizont	sundering, bane	static	self	blank	static_while_on_board	must_be_on_horizont	Amíg a Horizonton van, rendelkezik Hasítás és Métely kulcsszóval.	passziv_vagy_egyszeru	Passzív, natív keywordös lap.
Hamu-Goblin Raj	Entitás	Ignis	Hamvaskezű	Goblin	Harcos	1	1	1	1	[HORIZONT] Gyorsaság (Celerity). Ha van egy másik Goblin Entitásod a Domíniumon, kap +1 ATK-t.	[HORIZONT] celerity; if another allied Goblin is on Dominium: self gains +1 ATK	horizont	celerity	static	self	atk_mod	static_while_on_board	another_allied_goblin_on_dominium	Gyorsasággal rendelkezik, és ha van másik saját Goblin entitásod, +1 ATK-t kap.	passziv_vagy_egyszeru	Passzív keyword + törzsi feltételes buff.
Lángköpő Gyík	Entitás	Ignis	Hamvaskezű	Hüllő	Alap	1	1	2	1	[DOMÍNIUM] Visszhang (Echo): Ha elpusztul, okoz 1 sebzést egy szabadon választott ellenséges Entitásnak.	[DOMINIUM] echo: on death, deal 1 damage to target enemy entity	dominium	echo	on_death	enemy_entity	damage	instant	self_destroyed	Ha elpusztul, 1 sebzést okoz egy ellenséges entitásnak.	elso_koros_gepi_ertelmezes	Echo-triggeres egyszerű célzott sebzés.
Parázs-Ork Martalóc	Entitás	Ignis	Hamvaskezű	Ork	Harcos	2	2	3	2	[HORIZONT] Gyorsaság (Celerity). Valahányszor ez az Entitás támadást indít, a harc előtt azonnal elszenved 1 sebzést.	[HORIZONT] celerity; on attack declared: self takes 1 damage before combat	horizont	celerity	on_attack_declared	self	damage	instant	self_starts_attack	Gyorsasággal rendelkezik, és amikor támadást indít, 1 sebzést szenved el a harc előtt.	passziv_vagy_egyszeru	Passzív keyword + egyszerű önsebző támadástrigger.
Törp Lávakovács	Entitás	Ignis	Hamvaskezű	Törp	Harcos	2	2	2	3	[HORIZONT] Oltalom (Aegis). Valahányszor sebzést szenved el, de nem pusztul el, kap +1 ATK-t az adott kör végéig.	[HORIZONT] aegis; when self takes damage and survives: self gains +1 ATK until end of turn	horizont	aegis	on_damage_survived	self	atk_mod	until_turn_end	self_takes_damage_and_survives	Oltalommal rendelkezik, és ha sebzést szenved el, de túléli, +1 ATK-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Passzív keyword + túléléses buff.
Füstkéses Nindzsa	Entitás	Ignis	Hamvaskezű	Ember	Orgyilkos	2	2	2	1	[HORIZONT] Ez az Entitás képes közvetlenül a Zenitben rejtőző ellenséges Entitásokat is megtámadni, kikerülve a Horizont védőit.	can directly attack enemy Zenit entities, bypassing Horizont defenders	horizont, zenit	blank	static	enemy_zenit_entity	attack_restrict	static_while_on_board	none	Képes közvetlenül a Zenitben lévő ellenséges entitásokat támadni, megkerülve a Horizont védőit.	osszetett_egyedi	Különleges támadási célzási szabály.
Goblin Robbanómester	Entitás	Ignis	Hamvaskezű	Goblin	Zsoldos	3	2	3	2	[DOMÍNIUM] Riadó (Clarion): Okoz 2 sebzést egy ellenséges Entitásnak, de a Robbanómester is elszenved 1 sebzést.	[DOMINIUM] clarion: deal 2 damage to target enemy entity; self takes 1 damage	dominium	clarion	on_summon	enemy_entity, self	damage	instant	none	Megidézéskor 2 sebzést okoz egy ellenséges entitásnak, és önmaga 1 sebzést kap.	passziv_vagy_egyszeru	Clarionhoz jól köthető egyszerű sebző képesség.
Perzselt-páncélos Ork	Entitás	Ignis	Hamvaskezű	Ork	Lovag	3	3	2	4	[HORIZONT] Oltalom (Aegis). Ha a Zenitből Harmonizálás (Harmonize) bónuszt kap, a bónusz értéke 1-gyel nő.	[HORIZONT] aegis; harmonize bonuses received from Zenit are increased by 1	horizont	aegis	static	self	atk_mod, hp_mod	static_while_on_board	receives_harmonize_bonus_from_zenit	Oltalommal rendelkezik, és a Zenitből kapott Harmonizálás bónusza 1-gyel nő.	passziv_vagy_egyszeru	Passzív zónafüggő harmonize-erősítés.
Lángszárnyú Hiéna	Entitás	Ignis	Hamvaskezű	Szárnyas Bestia	Alap	3	3	3	2	[HORIZONT] Légies (Ethereal). Gyorsaság (Celerity).	[HORIZONT] ethereal; celerity	horizont	celerity, ethereal	static	self	blank	static_while_on_board	must_be_on_horizont	Amíg a Horizonton van, rendelkezik Légies és Gyorsaság kulcsszóval.	passziv_vagy_egyszeru	Passzív, natív keywordös lap.
Hamvaskezű Toborzó	Entitás	Ignis	Hamvaskezű	Ember	Parancsnok	4	3	2	4	[DOMÍNIUM] Riadó (Clarion): Idézz meg két 1/1-es Goblin / Harcos Tokent a Horizont üres mezőire. Ha nincs elég hely, az Ürességbe kerülnek.	[DOMINIUM] clarion: summon 2 1/1 Goblin/Harcos tokens to empty own Horizont slots; excess go to Void	dominium	clarion	on_summon	own_horizont_entities	summon_token	instant	on_summon	Megidézéskor két 1/1-es Goblin/Harcos tokent idéz üres saját Horizont mezőkre; a felesleg elvész.	passziv_vagy_egyszeru	Clarionhoz jól köthető tokenidézés.
Törp Magmakalapácsos	Entitás	Ignis	Hamvaskezű	Törp	Harcos	4	4	4	5	[HORIZONT] Hasítás (Sundering). Ennek az Entitásnak az ATK-ja ellenséges varázslatok által nem csökkenthető 1 alá.	[HORIZONT] sundering; ATK cannot be reduced below 1 by enemy spells	horizont	sundering	static	self	atk_mod, stat_protection	static_while_on_board	atk_cannot_be_reduced_below_1_by_enemy_spells	Hasítással rendelkezik, és az ATK-ja ellenséges varázslatokkal nem csökkenthető 1 alá.	elso_koros_gepi_ertelmezes	Statikus spell-védelem natív keyword mellett.
Lángvérű Berserker	Entitás	Ignis	Hamvaskezű	Ember	Harcos	4	4	5	3	[HORIZONT] Amíg ennek az Entitásnak a jelenlegi HP-ja alacsonyabb, mint a maximális HP-ja (sérült), kap +2 ATK-t és a Hasítás (Sundering) kulcsszót.	[HORIZONT] while damaged: self gains +2 ATK and sundering	horizont	blank	static	self	atk_mod, grant_keyword	static_while_on_board	self_is_damaged	Amíg sérült, +2 ATK-t és Hasítás kulcsszót kap.	elso_koros_gepi_ertelmezes	Sérülésfüggő folyamatos buff.
Ork Hadúr	Entitás	Ignis	Hamvaskezű	Ork	Nemes	5	4	4	5	[HORIZONT] Minden saját Ork és Goblin Entitásod a Horizonton kap +1 ATK-t és a Gyorsaság (Celerity) kulcsszót.	[HORIZONT] allied Ork and Goblin entities on own Horizont gain +1 ATK and celerity	horizont	blank	static	own_horizont_entities	atk_mod, grant_keyword	static_while_on_board	allied_ork_or_goblin_on_horizont	Minden saját Ork és Goblin Horizont-entitásod +1 ATK-t és Gyorsaságot kap.	elso_koros_gepi_ertelmezes	Passzív törzsi aura.
Hamvaskezű Bestia-lovas	Entitás	Ignis	Hamvaskezű	Ember	Kósza	5	5	5	4	[HORIZONT] Hasítás (Sundering). Amíg a pályán van, minden saját Bestia típusú Entitásod mentesül az idézési betegség alól.	[HORIZONT] sundering; allied Beast entities ignore summoning sickness while self is on board	horizont	sundering	static	own_entities	attack_restrict	static_while_on_board	self_on_board	Hasítással rendelkezik, és amíg pályán van, a saját Bestia entitásaid mentesülnek az idézési betegségtől.	passziv_vagy_egyszeru	Passzív törzsi folyamatos hatás.
Pokol-kutyák Ura	Entitás	Ignis	Hamvaskezű	Démon	Vadász	6	5	6	5	[DOMÍNIUM] Riadó (Clarion): Kényszerítés (Taunt). Válassz ki egy ellenséges Entitást; a következő körben kötelezően támadnia kell, ha képes rá.	[DOMINIUM] clarion: taunt target enemy entity until next enemy turn	dominium	clarion, taunt	on_summon	enemy_entity	attack_restrict	until_next_enemy_turn	target_enemy_entity	Megidézéskor egy ellenséges entitás a következő körben kötelezően támad, ha képes rá.	passziv_vagy_egyszeru	Clarionhoz jól köthető egyszerű támadási kényszer.
Tűzhegy Titánja	Entitás	Ignis	Hamvaskezű	Gólem	Harcos	7	6	7	7	[HORIZONT] Hasítás (Sundering). Oltalom (Aegis). Nem blokkolhatják olyan Entitások, amelyek ATK-ja 3 vagy annál kisebb.	[HORIZONT] sundering; aegis; cannot be blocked by entities with 3 or less ATK	horizont	aegis, sundering	static	self	block_restrict	static_while_on_board	enemy_blocker_atk_3_or_less	Hasítással és Oltalommal rendelkezik, és a 3 vagy kisebb ATK-jú entitások nem blokkolhatják.	elso_koros_gepi_ertelmezes	Passzív keywordök + blokk-korlátozás.
Ignatar a Hamvaskezű	Entitás	Ignis	Hamvaskezű	Ember	Hős	8	7	8	8	[HORIZONT] Gyorsaság (Celerity). [DOMÍNIUM] Riadó (Clarion): Minden ellenséges Entitás azonnal elveszít 2 HP-t a perzselő hőtől.	[HORIZONT] celerity; [DOMINIUM] clarion: all enemy entities lose 2 HP	dominium, horizont	celerity, clarion	on_summon	enemy_entities	damage	instant	none	Gyorsasággal rendelkezik, és megidézéskor minden ellenséges entitás 2 sebzést szenved el.	elso_koros_gepi_ertelmezes	Clarionhoz jól köthető tömeges sebzés.
Goblin Taktika	Rituálé	Ignis	Hamvaskezű	-	-	2	2	-	-	Idézz meg két 1/1-es Goblin / Harcos Tokent a Horizont üres mezőire.	summon 2 1/1 Goblin/Harcos tokens to empty own Horizont slots	horizont	blank	blank	own_horizont_entities	summon_token	instant	requires_empty_horizont_slots	Két 1/1-es Goblin/Harcos tokent idéz a saját üres Horizont mezőkre.	passziv_vagy_egyszeru	Egyszerű tokenidézés; jól illeszthető meglévő summon-token primitívhez.
Vakmerő Roham	Rituálé	Ignis	Hamvaskezű	-	-	3	3	-	-	Minden saját Entitásod a Horizonton kap +2 ATK-t az adott kör végéig, de az Eloszlás fázisban mindegyik elszenved 1 sebzést.	all allied own Horizont entities gain +2 ATK until end of turn; during Distribution phase each takes 1 damage	horizont	blank	blank	own_horizont_entities	atk_mod, damage	until_turn_end	delayed_damage_to_buffed_allied_horizont_entities_in_distribution_phase	Minden saját Horizont-entitás +2 ATK-t kap a kör végéig, majd később mindegyik 1 sebzést szenved el.	osszetett_egyedi	Kétlépcsős időzített tömeghatás; nem csak sima buff.
Ork Csatakiáltás	Rituálé	Ignis	Hamvaskezű	-	-	3	2	-	-	Minden ellenséges Entitás a Horizonton megkapja a Kényszerítés (Taunt) hatást: a következő körükben kötelezően támadniuk kell.	all enemy Horizont entities gain taunt until next enemy turn	horizont	taunt	blank	enemy_horizont_entities	attack_restrict	until_next_enemy_turn	requires_enemy_horizont_entities	Minden ellenséges Horizont-entitás a következő körében kötelezően támad, ha képes rá.	passziv_vagy_egyszeru	Tömeges támadási kényszer a következő ellenséges körre.
Kirobbanó Erő	Rituálé	Ignis	Hamvaskezű	-	-	4	3	-	-	Áldozz fel egy saját Entitást a Horizonton. Húzz 2 lapot a paklidból.	sacrifice target allied own Horizont entity; draw 2 cards	horizont, deck	blank	blank	own_horizont_entity	sacrifice, draw	instant	requires_allied_horizont_entity	Feláldoz egy saját Horizont-entitást, majd 2 lapot húz.	elso_koros_gepi_ertelmezes	Egyszerű áldozás + húzás kombináció.
Pusztító Roham	Rituálé	Ignis	Hamvaskezű	-	-	2	1	-	-	Válassz egy Hamvaskezű Entitást a Horizonton. Kap +3 ATK-t az adott kör végéig.	target allied Hamvaskezű Horizont entity gains +3 ATK until end of turn	horizont	blank	blank	own_horizont_entity	atk_mod	until_turn_end	target_must_be_hamvaskezu_on_horizont	Egy saját Hamvaskezű Horizont-entitás +3 ATK-t kap a kör végéig.	passziv_vagy_egyszeru	Egyszerű célzott buff; a klánszűrés a fő feltétel.
Páncéltörő Csapás	Rituálé	Ignis	Hamvaskezű	-	-	3	3	-	-	Célozz meg egy Kimerült ellenséges Entitást. Veszít 4 HP-t. Ha ebbe belehal, az adott Áramlatban lévő ellenfél Pecsétje kap 1 sebzést.	target exhausted enemy entity loses 4 HP; if destroyed, deal 1 damage to enemy seal in same flow	horizont, seal_row	blank	blank	enemy_entity, enemy_seal	damage, seal_damage	instant	target_enemy_must_be_exhausted_and_seal_must_be_in_same_lane	Egy kimerült ellenséges entitást 4 sebzés ér; ha elpusztul, az adott áramlat ellenséges pecsétje is 1 sebzést kap.	elso_koros_gepi_ertelmezes	Célzott sebzés plusz feltételes lane-specifikus pecsétsebzés.
Hamuvá Zúzás	Rituálé	Ignis	Hamvaskezű	-	-	4	3	-	-	Semmisíts meg egy célpont ellenséges Entitást, amelynek a maximális HP-ja 3 vagy annál kevesebb.	destroy target enemy entity with max HP 3 or less	blank	blank	blank	enemy_entity	destroy	instant	target_enemy_max_hp_lte_3	Egy legfeljebb 3 maximális HP-jú ellenséges entitást megsemmisít.	passziv_vagy_egyszeru	Egyszerű feltételes megsemmisítő spell.
Vér és Hamu	Rituálé	Ignis	Hamvaskezű	-	-	5	2	-	-	Küldj az Ürességbe (áldozz fel) egy saját Aktív Entitásodat. Okozz az ATK-jával megegyező sebzést egy szabadon választott ellenséges Entitásnak vagy Pecsétnek.	sacrifice target active allied own entity; deal damage equal to its ATK to target enemy entity or enemy seal	blank	blank	blank	own_entity, enemy_entity, enemy_seal	sacrifice, damage, seal_damage	instant	requires_active_allied_entity_as_cost_and_damage_equals_sacrificed_entity_atk	Feláldoz egy saját aktív entitást, majd annak ATK-jával megegyező sebzést okoz egy ellenséges entitásnak vagy pecsétnek.	elso_koros_gepi_ertelmezes	Áldozásból skálázódó sebzés; kétféle célpont miatt közepes összetettség.
Vakító Szikra	Ige	Ignis	Hamvaskezű	-	-	1	1	-	-	Válassz egy Aktív ellenséges Entitást a Horizonton. Kényszerítsd Kimerült állapotba! Reakció (Burst): Ingyen elsüthető Pecsétből.	target active enemy Horizont entity becomes exhausted; burst may be cast from seal	horizont, seal_row	burst	blank	enemy_horizont_entity	exhaust	instant	target_must_be_active_enemy_on_horizont	Egy aktív ellenséges Horizont-entitást kimerít; Burst módban is elsüthető.	elso_koros_gepi_ertelmezes	Egyszerű célzott kimerítés; jól illik a meglévő exhaust primitívhez.
Utolsó Szikra	Ige	Ignis	Hamvaskezű	-	-	1	2	-	-	Okoz 2 sebzést egy ellenséges Entitásnak vagy közvetlenül egy Pecsétnek. Reakció (Burst): Ingyen elsüthető.	deal 2 damage to target enemy entity or directly to target enemy seal	blank	burst	blank	enemy_entity, enemy_seal	damage, seal_damage	instant	none	2 sebzést okoz egy ellenséges entitásnak vagy egy ellenséges pecsétnek.	elso_koros_gepi_ertelmezes	Egyszerű célzott sebzés kétféle célponttal.
A Lángok Haragja	Ige	Ignis	Hamvaskezű	-	-	2	2	-	-	Egy saját Entitásod kap +2 ATK-t és a Hasítás (Sundering) kulcsszót a kör végéig.	target allied own entity gains +2 ATK and sundering until end of turn	blank	blank	blank	own_entity	atk_mod, grant_keyword	until_turn_end	requires_allied_entity	Egy saját entitás +2 ATK-t és Sundering kulcsszót kap a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű célzott buff; meglévő temp buff + keyword grant mintára ül.
Vérforraló Üvöltés	Ige	Ignis	Hamvaskezű	-	-	3	4	-	-	A Domíniumodon lévő összes Entitás kap +1 ATK-t és a Gyorsaság (Celerity) kulcsszót az adott kör végéig.	all allied own entities on Dominium gain +1 ATK and celerity until end of turn	dominium	blank	blank	own_entities	atk_mod, grant_keyword	until_turn_end	requires_allied_entities_on_dominium	Minden saját Domíniumon lévő entitás +1 ATK-t és Celerityt kap a kör végéig.	elso_koros_gepi_ertelmezes	Tömeges buff-spell; jól kezelhető egységes buff primitívekkel.
Perzselő Csapás	Ige	Ignis	Hamvaskezű	-	-	2	1	-	-	Egy választott saját Entitásod kap +3 ATK-t a harc idejére. Reakció (Burst): Ingyen elsüthető.	target allied own entity gains +3 ATK during combat; burst may be cast for free	blank	burst	blank	own_entity	atk_mod	during_combat	requires_allied_entity	Egy saját entitás +3 ATK-t kap a harc idejére; Burstként is használható.	elso_koros_gepi_ertelmezes	Szűk combat-időtartamú buff; külön cleanupot igényelhet.
Hamuba Fojtás	Ige	Ignis	Hamvaskezű	-	-	2	2	-	-	Válassz egy Aktív ellenséges Entitást a Zenitben. Kényszerítsd Kimerült (elforgatott) állapotba!	target active enemy Zenit entity becomes exhausted	zenit	blank	blank	enemy_zenit_entity	exhaust	instant	target_must_be_active_enemy_in_zenit	Egy aktív ellenséges Zenit-entitást kimerít.	passziv_vagy_egyszeru	Egyszerű célzott zenit-kimerítés.
Lángoló Harag	Ige	Ignis	Hamvaskezű	-	-	3	1	-	-	Okozz 3 sebzést egy olyan ellenséges Entitásnak, amely már sérült (a jelenlegi HP-ja kisebb, mint a maximális). Reakció (Burst): Ingyen elsüthető.	deal 3 damage to target damaged enemy entity	blank	burst	blank	enemy_entity	damage	instant	target_enemy_entity_must_be_damaged	3 sebzést okoz egy már sérült ellenséges entitásnak.	elso_koros_gepi_ertelmezes	Egyszerű célzott sebzés sérült célpont feltétellel.
Tűzgyűrű	Ige	Ignis	Hamvaskezű	-	-	4	2	-	-	Egy saját Entitásod megkapja az Oltalom (Aegis) kulcsszót a kör végéig. Bármely ellenség, ami megtámadja őt ebben a körben, kap 2 sebzést.	target allied own entity gains aegis until end of turn; attackers that attack it take 2 damage until end of turn	blank	aegis	blank	own_entity	grant_keyword, damage	until_turn_end	requires_allied_entity	Egy saját entitás ideiglenes Aegist kap, és a támadói 2 sebzést szenvednek.	osszetett_egyedi	Ideiglenes keyword + ideiglenes retaliate jellegű harci kampó együtt.
Forró Talaj	Jel	Ignis	Hamvaskezű	-	-	2	2	-	-	Aktiválás: Amikor egy ellenséges Entitás támadást indít. Hatás: A támadó Entitás azonnal elszenved 2 sebzést a harc előtt.	on enemy attack declared: deal 2 damage to attacking entity before combat	blank	blank	on_attack_declared	enemy_entity	damage	instant	requires_enemy_attack_declared	Amikor egy ellenséges entitás támadást indít, a támadó 2 sebzést kap még a harc előtt.	elso_koros_gepi_ertelmezes	Egyszerű combat-trap; jól illeszkedik meglévő pre-combat damage mintára.
Robbanó Pajzs	Jel	Ignis	Hamvaskezű	-	-	3	2	-	-	Aktiválás: Amikor az ellenfél megtámadja egy Oltalom (Aegis) kulcsszójú Entitásodat. Hatás: A támadó Entitás azonnal elszenved 3 sebzést.	on enemy attack against allied aegis entity: deal 3 damage to attacking entity	horizont	aegis	on_attack_declared	enemy_entity	damage	instant	targeted_allied_defender_must_have_aegis	Ha az ellenfél egy Aegis-es saját entitást támad, a támadó 3 sebzést szenved el.	elso_koros_gepi_ertelmezes	Aegis-feltételes combat-trap; preview-ellenőrzést igényel.
Csapda a Füstben	Jel	Ignis	Hamvaskezű	-	-	3	2	-	-	Aktiválás: Amikor az ellenfél megidéz egy 4-es vagy magasabb Magnitúdójú Entitást. Hatás: Az újonnan megidézett Entitás azonnal Kimerült állapotba kerül.	on enemy summon of magnitude 4 or more: summoned entity becomes exhausted	blank	blank	on_enemy_summon	enemy_entity	exhaust	instant	summoned_enemy_magnitude_gte_4	Ha az ellenfél legalább 4-es Magnitúdójú entitást idéz, az új egység azonnal kimerül.	elso_koros_gepi_ertelmezes	Egyszerű summon-trigger trap; Magnitúdó-feltétel a fő szűrés.
